,,,acc,acc,acc,acc_foreground,acc_foreground,acc_foreground,iou,iou,iou,iou_foreground,iou_foreground,iou_foreground,loss,loss,loss,loss_foreground,loss_foreground,loss_foreground
,,,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min,max,median,min
MNIST,CNN,2,0.89,0.89,0.87,0.18,0.17,0.0,0.25,0.23,0.0,0.12,0.1,0.0,0.7,0.29,0.29,4.35,2.21,2.2
MNIST,CNN,4,0.9,0.9,0.87,0.28,0.25,0.0,0.31,0.28,0.0,0.18,0.17,0.0,0.7,0.27,0.26,4.37,2.0,1.93
MNIST,CNN,8,0.93,0.93,0.87,0.49,0.47,0.0,0.47,0.45,0.0,0.36,0.33,0.0,0.7,0.2,0.19,4.31,1.47,1.42
MNIST,CNN,16,0.98,0.97,0.87,0.83,0.81,0.0,0.81,0.78,0.0,0.75,0.72,0.0,0.7,0.09,0.07,4.35,0.63,0.55
MNIST,CNN,32,0.99,0.87,0.87,0.91,0.0,0.0,0.9,0.0,0.0,0.86,0.0,0.0,0.7,0.69,0.05,4.37,4.29,0.33
MNIST,LSTM,linear,0.99,0.98,0.87,0.93,0.88,0.0,0.91,0.86,0.0,0.88,0.82,0.0,0.7,0.05,0.03,4.33,0.35,0.24
MNIST,LSTM,fft,0.98,0.97,0.87,0.89,0.81,0.0,0.87,0.78,0.0,0.83,0.72,0.0,0.7,0.07,0.05,4.39,0.56,0.35
MNIST,LSTM,last,0.94,0.92,0.87,0.58,0.4,0.0,0.57,0.41,0.0,0.46,0.28,0.0,0.7,0.21,0.16,4.34,1.58,1.18
MNIST,LSTM,mean_time,0.94,0.92,0.9,0.53,0.43,0.27,0.52,0.43,0.31,0.41,0.32,0.2,0.26,0.2,0.17,1.97,1.53,1.3
MNIST,LSTM,max_time,0.93,0.92,0.91,0.47,0.44,0.32,0.48,0.43,0.34,0.36,0.32,0.22,0.24,0.2,0.19,1.83,1.52,1.42
MNIST,CoRNN,linear,0.99,0.99,0.98,0.94,0.9,0.86,0.93,0.88,0.83,0.91,0.85,0.78,0.06,0.04,0.03,0.42,0.31,0.2
MNIST,CoRNN,fft,0.98,0.97,0.95,0.84,0.78,0.65,0.81,0.74,0.61,0.76,0.67,0.52,0.14,0.09,0.07,1.04,0.68,0.51
MNIST,CoRNN,last,0.95,0.94,0.91,0.61,0.52,0.35,0.6,0.51,0.34,0.49,0.41,0.25,0.23,0.17,0.14,1.74,1.3,1.07
MNIST,CoRNN,mean_time,0.94,0.93,0.91,0.57,0.46,0.34,0.56,0.45,0.36,0.46,0.34,0.24,0.24,0.2,0.16,1.78,1.48,1.16
MNIST,CoRNN,max_time,0.94,0.93,0.92,0.59,0.46,0.41,0.57,0.45,0.38,0.47,0.34,0.31,0.21,0.2,0.15,1.55,1.47,1.11
Tetrominoes,CNN,2,0.89,0.89,0.86,0.26,0.26,0.0,0.29,0.26,0.0,0.16,0.16,0.0,0.65,0.22,0.22,3.5,1.55,1.54
Tetrominoes,CNN,4,0.91,0.91,0.86,0.4,0.39,0.0,0.36,0.34,0.0,0.27,0.25,0.0,0.65,0.19,0.18,3.55,1.3,1.28
Tetrominoes,CNN,8,0.97,0.97,0.86,0.83,0.82,0.0,0.76,0.73,0.0,0.72,0.7,0.0,0.65,0.06,0.05,3.55,0.38,0.33
Tetrominoes,CNN,16,1.0,0.86,0.86,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.65,0.65,0.0,3.61,3.5,0.01
Tetrominoes,CNN,32,1.0,0.86,0.86,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.65,0.63,0.0,3.6,3.4,0.01
Tetrominoes,LSTM,linear,1.0,1.0,0.99,0.98,0.98,0.92,0.98,0.97,0.91,0.97,0.96,0.87,0.04,0.02,0.01,0.25,0.1,0.08
Tetrominoes,LSTM,fft,1.0,0.99,0.98,0.98,0.97,0.84,0.97,0.96,0.79,0.96,0.94,0.74,0.06,0.02,0.01,0.45,0.14,0.09
Tetrominoes,LSTM,last,0.99,0.98,0.86,0.92,0.84,0.0,0.91,0.74,0.0,0.86,0.73,0.0,0.65,0.06,0.04,3.55,0.43,0.29
Tetrominoes,LSTM,mean_time,0.99,0.95,0.86,0.96,0.68,0.0,0.95,0.58,0.0,0.93,0.53,0.0,0.65,0.1,0.03,3.61,0.72,0.2
Tetrominoes,LSTM,max_time,0.99,0.94,0.86,0.96,0.57,0.0,0.94,0.48,0.0,0.92,0.42,0.0,0.65,0.13,0.03,3.44,0.93,0.21
Tetrominoes,CoRNN,linear,1.0,1.0,1.0,0.99,0.99,0.98,0.99,0.98,0.97,0.99,0.98,0.96,0.01,0.01,0.0,0.09,0.05,0.03
Tetrominoes,CoRNN,fft,1.0,1.0,0.99,0.99,0.98,0.97,0.99,0.98,0.97,0.98,0.97,0.95,0.02,0.01,0.01,0.11,0.06,0.04
Tetrominoes,CoRNN,last,1.0,0.99,0.97,0.98,0.97,0.81,0.98,0.96,0.76,0.97,0.95,0.7,0.08,0.02,0.01,0.53,0.15,0.1
Tetrominoes,CoRNN,mean_time,1.0,0.99,0.97,0.99,0.94,0.78,0.99,0.91,0.69,0.98,0.89,0.65,0.07,0.03,0.01,0.5,0.23,0.06
Tetrominoes,CoRNN,max_time,1.0,0.99,0.95,0.99,0.92,0.69,0.98,0.9,0.59,0.98,0.86,0.54,0.12,0.04,0.01,0.82,0.27,0.09
